date,wti,brent
2015-10-01,44.75,47.48
2015-10-02,45.54,46.55
2015-10-05,46.28,49.45
2015-10-06,48.53,51.34
2015-10-07,47.86,51.66
2015-10-08,49.46,52.13
2015-10-09,49.67,52.08
2015-10-12,47.09,50.95
2015-10-13,46.7,48.94
2015-10-14,46.63,48.25
2015-10-15,46.38,47.87
2015-10-16,47.3,48.96
2015-10-19,45.91,47.51
2015-10-20,45.84,46.93
2015-10-21,45.22,46.72
2015-10-22,44.9,46.59
2015-10-23,43.91,46.3
2015-10-26,43.19,46.57
2015-10-27,43.21,45.54
2015-10-28,45.93,47.6
2015-10-29,46.02,48.04
2015-10-30,46.6,48
2015-11-02,46.12,47.91
2015-11-03,47.88,48
2015-11-04,46.32,46.96
2015-11-05,45.27,47.19
2015-11-06,44.32,46.09
2015-11-09,43.87,45.38
2015-11-10,44.23,46.44
2015-11-11,42.95,44.98
2015-11-12,41.74,44.98
2015-11-13,40.69,41.98
2015-11-16,41.68,40.28
2015-11-17,40.73,41.28
2015-11-18,40.75,41.45
2015-11-19,40.55,42.22
2015-11-20,39.39,42.49
2015-11-23,39.27,43.7
2015-11-24,40.89,44.38
2015-11-25,41.22,43.56
2015-11-26,,43.55
2015-11-27,40.57,43.07
2015-11-30,40.43,43.73
2015-12-01,40.58,42.97
2015-12-02,39.93,41.92
2015-12-03,41.08,42
2015-12-04,40,41.44
2015-12-07,37.64,39.69
2015-12-08,37.46,39.44
2015-12-09,37.16,39.04
2015-12-10,36.76,38.65
2015-12-11,35.65,36.99
2015-12-14,36.31,36.51
2015-12-15,37.32,37.66
2015-12-16,35.55,36.96
2015-12-17,34.98,36.29
2015-12-18,34.72,36.76
2015-12-21,34.55,35.34
2015-12-22,36.12,35.26
2015-12-23,36.76,35.79
2015-12-24,37.62,37.22
2015-12-28,36.36,37.08
2015-12-29,37.88,36.85
2015-12-30,36.59,35.65
2015-12-31,37.13,36.61
